,valid_time,t2m,t2m_adj,t2m_norm_adj
count,447072.0,447072.0,447072.0,447072.0
mean,223535.5,295.5914049923055,296.75369773497175,-3.529064521823302e-15
std,129058.71411021911,10.036709499561242,10.014251166061818,1.0000000000000033
min,0.0,267.62488,269.2920702466401,-2.7422547160988726
25%,111767.75,287.3386425,288.5201495594233,-0.8221831107503909
50%,223535.5,295.62286,296.77933753155116,0.002560330887875586
75%,335303.25,303.662375,304.8027261729697,0.8037573957877147
max,447071.0,321.04376,322.39554567512295,2.560535732022692
