,valid_time,t2m,t2m_adj
count,447072.0,447072.0,447072.0
mean,223535.5,295.5914049923055,296.75369773497175
std,129058.71411021911,10.036709499561242,10.014251166061818
min,0.0,267.62488,269.2920702466401
25%,111767.75,287.3386425,288.5201495594233
50%,223535.5,295.62286,296.77933753155116
75%,335303.25,303.662375,304.8027261729697
max,447071.0,321.04376,322.39554567512295
