,Climate Adjusted
count,446760.0
mean,0.00023481545261912608
std,1.0001507289724616
min,-2.7440479218483733
25%,-0.8221182832641502
50%,0.003243631987145116
75%,0.8041291224157483
max,2.560993365304883
