,Observed,Climate Adjusted
count,447072.0,447072.0
mean,22.441411097719573,23.603703859346453
std,10.036709490424068,10.014251156170696
min,-5.525122666666666,-3.85791969770222
25%,14.188646152777777,15.370158854758763
50%,22.472859777777778,23.62932106033945
75%,30.51238177777778,31.652727920957965
max,47.893761777777776,49.24554358670188
